トピック,対象,B_ID,B概要,B影響度,Bリスク,B工数,C_ID,C概要,C影響度,Cリスク,C工数,違い・所感,優位
"evaluator 例外設計","evaluator/exceptions.py","(X3に内包)","共通基底MixseekErrorの一部として扱う","中","低","S","02-候補4 / 順17","未使用例外3種(EvaluatorConfigError等)がraiseされず、llm_client は素のValueError使用という不整合を特定","低","低","S","【C独自寄り】Cは『定義済み例外が一度もraiseされない・代わりに素のValueError』というデッドな例外設計を具体特定。BはX3で例外階層統一に内包するが個別の不整合は未指摘。粒度でC","C(個別不整合の特定)"
"storage sync/async+retry統一","storage/aggregation_store.py","S1","_run_write/_run_read に集約。saveだけリトライ有りの不統一を発見","中","低","M","05-候補2","リトライループが4回複製(行番号付き)。except Exceptionが広すぎ非DBエラーまでリトライと指摘、duckdb.Error限定を提案","中","低","S","両者ともsync/async定型重複を特定。Bは『saveだけ指数バックオフ』の不統一を発見。Cは『4回複製』と数え、さらに except Exception の過剰捕捉(TypeErrorまで最大7秒リトライ)という挙動バグを追加特定。Cがより精密","C(挙動バグ追加特定)"
"storage DDL一元化","aggregation_store.py / schema.py","(S2に内包)","schema.pyにDDL寄せ、initialize_schema維持","中","中","M(内包)","05-候補1 / 順7","leader_board DDLとseqが2箇所に二重定義→IF NOT EXISTS先勝ちでスキーマドリフト危険、と独立候補化","中","低","S","【C独自・検証済】schema.py:47とaggregation_store.py:177の二重定義を実コード確認。Cはドリフトリスクを明示し低リスク・即効の独立候補に。BはS2の中で軽く触れる程度。Cが優位","C(検証済・リスク明示)"
"storage 共通ロガー導入","storage/ 全体","—","(独立候補なし)","-","-","-","05-候補3 / 順6","storage配下にlogger参照ゼロ(grep0件)→リトライ失敗/ROLLBACKが無音。構造化フィールド付きログ導入","中","低","S","【C独自】Cは『storageにログ完全不在』をgrepで定量特定し、障害追跡不能という運用リスクを指摘。Bはstorage章でロガーに言及なし。AGENTS.md規約(構造化ログ)違反の正面対応でCが優位","C(B欠落)"
"AggregationStore責務分割","storage/aggregation_store.py (907行)","S2","テーブル別リポジトリ化、base.py抽出、UI読み出し統合論点も指摘","中","中","M","05-候補4 / 順36","connection/round_history/leader_board/round_status/execution_summary に分割、ファサード維持。各候補の行数見積りも提示","高","中","L","方針はほぼ同一(テーブル別+接続基盤抽出+ファサード)。Bは候補1本に集約、Cは候補1〜3(DDL/retry/ロガー)を前提整備として分離してから候補4で分割という段階設計。Cの段階性がより実務的","C(段階設計)"
"storage 公開API型整理","aggregation_store.py","—","(独立候補なし)","-","-","-","05-候補5","save系が8〜10引数・get_leader_boardがDataFrame返却(pandas露出)・storage→agents逆依存。Recordモデル化で解消","中","中","M","【C独自】Cはレイヤ逆転(永続化層が上位agents型をimport)とpandasの公開契約露出という設計負債を特定。Bは引数オブジェクト化に言及なし。設計観点でCが深い","C(B欠落)"
"orchestrator _execute_impl分割","orchestrator/orchestrator.py (530行)","E1","203行を6フェーズに機械抽出、コード例つき","中","低","S","03-候補3 / 順10","203行を _prepare_teams/_collect_results/_save_summary に抽出。OrchestratorTask生成のif/else二重化も一本化","中","低","S","ほぼ同一。両者とも唯一の200行違反(203行)を特定しコード例提示。Cは付随する if/else二重化も併せて解消。実質互角、Cがわずかに付帯改善多い","引き分け〜C"
"round_controller責務分割","round_controller/controller.py (567行)","E2","実行/評価/永続化の3分割+ProgressReporter。StopReason enum化","中","低","S","03-候補1 / 順35","RoundPersistence(null object化で store None分岐7箇所全廃)+ProgressReporter抽出。save_round_status同一引数3重複も指摘","高","中","M","両者とも永続化と進捗の抽出を提案。BはStopReason enumで継続判定を構造化する独自視点。Cは『store is None ガード7箇所』『save_round_status 3重複』を行番号付きで定量化しnull object化を提案。定量性はC、継続判定の型化はB。互角","引き分け(B型化/C定量)"
"orch↔controller結合整理","orchestrator/round_controller","—","(独立候補なし)","-","-","-","03-候補2","privateメソッド外部呼び出し(_finalize_and_return_best等)の密結合、同一TOMLの二重ロードを公開API化+設定注入で解消","中","低","S","【C独自】Cは『Orchestratorがcontrollerのprivateを直接呼ぶ(コードが自認するコメント付き)』『設定二重ロード』という密結合を特定。Bは未言及。結合度の分析でCが深い","C(B欠落)"
"Logfire span分岐ヘルパー化","orchestrator/controller/workflow","—","(独立候補なし)","-","-","-","03-候補4 / 順24","LOGFIRE_AVAILABLE分岐と _impl二重化が3モジュールに重複→maybe_span()でnullcontext化し _impl分離自体を撤廃","中","低","S","【C独自】CはLogfireオプショナルimportの分岐重複(3箇所)を特定し contextlib.nullcontext で二重化解消。Bは未言及。横断的な観測コード重複の発見でCが優位","C(B欠落)"
"エラー/定数の型安全化","orchestrator/round_controller","—","(独立候補なし)","-","-","-","03-候補5 / 順11","'ReadError' in error_type の文字列比較→isinstance化。exit_reason等の生文字列をStrEnum化","中","低","S","【C独自】Cは『例外型名の文字列マッチ(無関係例外に誤マッチし得る)』という脆い実装を特定。Bは継続判定のenum化(E2内)には触れるがリトライ判定の文字列比較は未指摘。Cが具体的バグ寸前の実装を発見","C(B欠落)"
"execution_service分割","ui/services/execution_service.py (772行)","U1","progress/runner/結果読出の3分割。進捗schema暗黙結合を退行リスク源と明示","中","中","M","07-候補1 / 順39","4分割。グローバル3辞書をLock付きストアへ、実行中ガードのコピペ(35行×2)解消、完了エントリ掃除でリーク対策","高","中","L","両者とも責務分割。Bは『進捗ファイルのdictキー暗黙結合』を最大リスクと特定。Cは『グローバル可変辞書がロックなしでBGスレッドから書込・掃除なしでリーク』というスレッド安全性/リーク問題を追加特定。退行リスク源の言語化はB、並行性バグの発見はC","引き分け(B結合/C並行性)"
"UI DB接続/workspace一本化","ui/utils/db_utils.py 他","(X2/U2近傍)","os.getenv集約の一部として db_utils workspace に言及","中","中","M","07-候補2 / 順5","接続ヘルパー三重化・get_workspace_path二重定義・None返却vs例外送出の仕様不一致を特定。db_utils廃止しcontextmanager化","高","低","S","【Cが具体的】Cは接続ヘルパーが3実装で仕様不一致(None返却/例外/直接続)という具体重複を特定し db_utils廃止を提案。Bはos.getenv撲滅の一部として触れる程度。粒度と即効性でC","C(具体性)"
"UIサービス エラー/接続クローズ","ui/services/round_service.py 他","—","(独立候補なし)","-","-","-","07-候補3 / 順40","leaderboard/history の conn.close()がfinally外→例外時リーク。round_serviceにテスト不在(grep0件)も特定","中","低","M","【C独自】Cは『close()がtry本文内で例外時に接続リーク』『round_serviceテスト皆無』を特定。Bは未言及。接続リークという実バグ寸前の発見でCが優位","C(B欠落)"
"ロギング/Logfire初期化一元化","cli/ui/observability","U2","ensure_observability()冪等API新設。初期化3重複を特定、設定=config/実行=observability","高","中","M","11-候補1 / 07-候補4 / 06-候補2 (※3)","init_observability()新設。同一の3重複に加え default値の'1'vs'true'差異がバグ温床と指摘","高","中","M","ほぼ同一の核心(初期化3重複→冪等API)。Bはまとまった1候補として明快。Cは3サブシステム分析で同一問題に3回到達し統合(※3)。デフォルト値差異の指摘はC独自。設計はほぼ互角、提示の明快さはB","引き分け(B明快/C詳細)"
"実行ページ sleep(5)","ui/pages/1_execution.py","—","(独立候補なし)","-","-","-","07-候補5 / 順15","ロック解放待ち time.sleep(5)のハードコードを指数バックオフリトライに置換、定数化","中","低","S","【C独自】Cはページ層のUXブロッキング(5秒固定sleep)を特定。Bはpages層を分析対象にしておらず未言及。Cの分析範囲の広さ","C(B欠落)"
"Pydantic v1 ConfigDict移行","ui/models/*.py","X4","class Config 5箇所をConfigDictへ。全体モダナイズ良好を確認の上で残滓指摘","低","低","S","07-候補6 / 順20","同一5箇所。filterwarnings=error でdeprecation検知する仕組み化を追加提案","低","低","S","同一の指摘。Cは再発防止(filterwarnings)を追加。BはOptional/Union除去済み等の全体確認も報告。ほぼ互角","引き分け"
"auth レジストリ化/分割","core/auth.py (570行)","X2(一部)","validate_*をPROVIDER_SPECSレジストリ+validate_api_key1本に。570→350行","中","中","M","04-候補1 / 11-候補3 (※4)","ProviderSpec(frozen dataclass)レジストリ化+core/auth/パッケージ分割(providers/validation/factory/lifecycle)。from e欠落・assert問題も","高","中","M","両者ともレジストリ化で一致。Cはさらにライフサイクル管理(HTTPクライアント)を独立責務として分離、再raiseのfrom e欠落・-O時に消えるassertという例外/型の細部まで指摘。分割の網羅性と細部はC","C(網羅・細部)"
"auth os.getenv解消","core/auth.py","X2","13箇所の直読みを型付きヘルパー集約、ruff banned-apiで再発防止","中","中","M","04-候補2 / 11-候補2","12〜13箇所を ProviderSpec に環境変数名を持たせ config経由に一本化。PYTEST_CURRENT_TEST参照も同アクセサへ","中","低","S","ほぼ同一。Bは ruff banned-api による機械的再発防止という仕組み化が独自で強い。Cは候補1のレジストリと一体で解消する設計。再発防止策はB、統合度はC","引き分け(B再発防止/C統合)"
"integration_hooks 削減","framework/integration_hooks.py (576行)","X1","デッドコード削除。本番呼出1箇所のみ→約700行純減。製品判断を挟む","中","低","S","04-候補3 / 順43","未使用emit7本/setup4本/Webhook/Custom削除+aiohttp依存除去。残部をevents/hooksに分割","中","低","M","両者とも本番利用が factory.py 1箇所のみと正しく特定(a-vs-bで検証済)。Bは『モジュールごと削除』を第一に純減700行と大胆。Cは『未使用部分を削除しつつ残部は分割』とより保守的、aiohttp依存除去という具体的副次効果も発見。削除の大胆さはB、依存分析はC","引き分け(B大胆/C依存分析)"
"IntegrationManager再設計","framework/integration_hooks.py","—","(X1で削除前提のため再設計は不要扱い)","-","-","-","04-候補4 / 順47","singleton+_ensure_queueのイベントループ切替検知(対症療法)を同期dispatchに簡素化、DI化","中","中","M","【観点差】Bは『削除すれば再設計不要』、Cは『削減後に残す前提で再設計』。Cはイベントループ切替検知という対症療法コードを特定。製品判断次第でBの削除が上回るが、残す判断ならCの設計が有用","引き分け(前提次第)"
"TestModel暗黙置換","core/auth.py","—","(独立候補なし)","-","-","-","04-候補5 / 順49","PYTEST_CURRENT_TESTでTestModel無条件返却→自モジュールのNO implicit fallbacks方針と矛盾。明示オプトイン化","中","高","M","【C独自・検証済】auth.py:106,367を実コード確認。Cは隠れた制御フロー(環境変数による暗黙分岐)がテスト表現力を制限すると特定。Bは未言及。テスト設計の健全性という観点でCが独自に発見","C(B欠落・検証済)"
"member execute()テンプレート化","agents/member/*.py","—","(独立候補なし)","-","-","-","09-候補1 / 順34","4エージェントのexecute()が約120行ずつコピー(usage抽出/例外処理まで文面一致)。テンプレートメソッド化で約4割削減","高","中","M","【C独自】Cは member 4実装の大規模コピー(各120行)を特定し、web_fetchだけ例外処理が改善され他に未反映という具体的な保守劣化も発見。Bは agents/member を候補化せず。最大級のDRY違反の発見でCが優位","C(B欠落・大型DRY)"
"usage_info キー不整合バグ","agents/leader/tools.py 他","—","(独立候補なし)","-","-","-","09-候補2 / 順1(最優先)","member側 prompt_tokens/completion_tokens 格納 vs leader側 input_tokens/output_tokens 参照→トークン集計が常に0の潜在バグ","高","低","S","【C独自・検証済・実バグ】両側のキー不一致を実コードで確認。pydantic-ai RunUsageの正式属性とも不一致で二重に壊れている。A・B・C中Cのみが発見し最優先候補に。実害ある機能バグの発見はCの圧勝","C(B欠落・実バグ発見)"
"leader/config レガシー撤去","agents/leader/config.py","M1(Team系)","team_settings_to_team_config の利用箇所をTeamSettings直結に、旧3クラス削除","高","中","L(M1内)","09-候補5 / 順46","load_team_config がdeprecated宣言済みと特定。create_leader_agentシグネチャ変更を2段階リリースで","中","中","M","BはM1のTeam系として体系内で扱う。Cは『deprecated宣言済みで内部はManager委譲の薄いラッパ』と現状を具体特定。実態把握はC、PR体系化はB。互角","引き分け"
"prompt_builder env(TZ)排除","prompt_builder/formatters.py","(X2に内包)","os.getenv撲滅の対象一覧に formatters.py:39 を含む","中","中","M(内包)","09-候補4 / 順14","os.environ.get('TZ')を get_timezone()ヘルパーへ。加えてdocstringと実装の乖離・store:Any も指摘","中","低","S","Bはos.getenv一覧に含めるのみ。Cはdocstring乖離(None時の戻り値が記述と違う)・store:Anyの型緩さまで併せて指摘。粒度でC","C(粒度)"
"workspace解決のconfig移設","utils/env.py / config/sources","—","(独立候補なし)","-","-","-","10-候補2 / 11-候補2 (※2)","get_workspace_path と get_workspace_for_config がほぼ完全重複。utils⇔config循環依存の根因→config移設で一方向化","高","中","M","【C独自】Cは2関数のほぼ完全重複と、それが utils⇔config 循環の根因(sources7ファイルが関数内import)であることを特定。Bは循環依存に未言及。アーキテクチャ負債の発見でCが優位","C(B欠落)"
"例外階層統一 MixseekError","exceptions.py 他各所","X3","MixseekError基底導入、多重継承で互換維持、except 2段化","中","低","S","10-候補5 / 11-候補5 (※1)","同一方針。インライン定義例外(auth/storage/orchestrator)の各exceptions.pyへの移動も。raise from を ruff B904 で担保","中","低","M","核心は完全一致(MixseekError基底+多重継承)。CはルートexceptionsがWorkspace専用名前を占有する問題、インライン例外の散在を追加特定し ruff B904 で from 徹底を機械化。Cがやや網羅的","C(網羅・機械化)"
"構造化LLM呼び出し共通化","evaluator/judgment client","—","(独立候補なし)","-","-","-","11-候補4 / 順27","llm_client と judgment_client が『認証→settings→Agent→run→例外ラップ』を二重実装。EvaluatorAPIError/JudgmentAPIErrorも同型→共通化","中","中","M","【C独自】Cは2つのLLMクライアントの同型実装と、例外クラスまでほぼ同型である点を特定し共通基底LLMAPIErrorを提案。Bは未言及。横断的なLLM呼び出し重複の発見でCが優位","C(B欠落)"
"構造化ログ徹底/型モダナイズ","src/ 全体","(X4の一部)","Pydantic v1除去に限定。型モダナイズは効果小として候補外","低","低","S","11-候補6 / 順48","logger呼出105箇所中 extra=使用7箇所のみ・f-string埋込61箇所を特定。ruff G系で検出、Self/PEP695化","中","低","M","【Cが広範】Cは構造化ログの不徹底を定量化(extra=7/105)し ruff G系での機械的是正を提案、型モダナイズ(Self/PEP695)も含む。BはX4でモダナイズは効果小と判断し候補外に。AGENTS.md規約(構造化ログ)順守の観点ではCの踏み込みが優位","C(規約順守の踏み込み)"
"workflow/executable分割","workflow/executable.py (393行)","—","(B: workflowは規約内・触らない判断)","-","-","-","10-候補1 / 順45","393行(300超)。プラグインローダー(_load_function等82行)をplugin_loader.pyへ抽出+logfireヘルパー共通化で300行内に","中","低","S","【C独自】Cは393行の300行違反を candidate化し、3箇所目の動的ローダー重複も指摘。BはE3補足で『executableは触らない』と判断。実測で393行=違反のためCの候補化が妥当","C(B見送りを補正)"
"filesystem デッドコード削除","utils/filesystem.py (230行)","—","(独立候補なし)","-","-","-","10-候補4 / 順16","validate_parent_exists等4関数がsrc未使用(grep0件)。削除で230→130行。パス検証の二重実装も統合","低","低","S","【C独自】Cはgrepで未使用4関数を特定し削除提案。Bは未言及。デッドコード掃除の網羅でC","C(B欠落)"
"observability/logfire責務分割","observability/logfire.py (256行)","—","(独立候補なし)","-","-","-","10-候補3 / 順25","logfire.py:148の os.environ書込(プロセス副作用)排除。logファイルパス組立の二重実装解消、setup_logfire4責務分割","中","中","M","【C独自】Cは『ライブラリコードがos.environに書き込む副作用』というテスト汚染リスクを特定。Bは未言及。観測性基盤の副作用の発見でCが優位","C(B欠落)"
"result.py typer依存除去","models/result.py","—","(独立候補なし)","-","-","-","08-候補5 / 順18","モデルが import typer し print_result で標準出力→models→CLI のレイヤ違反。表示をCLI層へ移動","低","低","S","【C独自】Cはデータモデルが CLI ライブラリに依存する明確なレイヤ違反を特定。Bは未言及。依存方向の健全性でC","C(B欠落)"
"member_agent分割","models/member_agent.py (487行)","M1(内縮小)","MemberAgent系統一の中でConfigを縮小として扱う","高(M1)","中","L(M1内)","08-候補4 / 順41","models/member/ に3分割+EnvironmentConfig(BaseSettings)をconfig層へ移設。validate_modelの順序依存も model_validator化","中","中","M","Bは統合(M1)の副産物として縮小。Cは物理分割+EnvironmentConfigのレイヤ移設+脆いvalidator修正を独立候補化。a-vs-bでのA:R12に近い具体性をCも持つ。Cがより具体的","C(具体性)"
"CLI workspace解決共通化","cli/commands/*.py","—","(独立候補なし)","-","-","-","06-候補1 / 順21(※2)","workspace解決が4系統併存、exec/teamは同一コードのコピー、os.environ直書き2箇所(同一Issue#273コメント付)","高","中","M","【C独自】CはCLIコマンド間でworkspace解決が4経路に分裂しコピー(同一コメントごと複製)を特定。Bは U3 でCLI→UI伝搬には触れるがCLI内の4系統分裂は未指摘。Cが深い","C(B欠落)"
"CLI config.py 例外処理バグ","cli/commands/config.py (407行)","U4","config_show/config_init の長関数分割","低","低","S","06-候補4 / 順13","typer.Exitがexcept Exceptionに捕捉され空のError:二重出力+終了コード上書きという軽微バグを特定。+config_init分割","中","低","M","Bは長関数分割に限定。Cは『except Exceptionがtyper.Exitを誤捕捉し終了コードを壊す』実バグを発見し例外処理修正を主眼に。Cがバグを追加発見","C(バグ発見)"
"CLI exec/team・formatters整理","cli/commands/exec,team / formatters","—","(B単独では候補化せず。A:R13が該当)","-","-","-","06-候補5 / 候補6 / 順19,44","exec/team表示分離+formattersのProgressFormatter(デッドコード)削除・hasattr型分岐をmatch文化","中〜低","低","S〜M","【C独自(B比)】CはCLI 5ファイルの300行超を網羅し表示分離・デッドコード・古いパターン(hasattr→match)を候補化。Bはこの領域をU4(configのみ)に絞る。網羅性でC(a-vs-bのA:R13網羅と同等の広さ)","C(網羅性)"
"CLI utils分割","cli/utils.py (321行)","—","(独立候補なし)","-","-","-","06-候補3 / 順12","observability_setup と options_support に分割、exit_with_error等デッドコード削除、戻り値Any修正","中","低","S","【C独自】Cはcli/utils.pyの300行超と無関係責務同居・デッドコードを特定。Bは未候補化。網羅性でC","C(B欠落)"
"CLI Logfire初期化重複(CLI内)","cli/utils.py / commands/ui.py","(U2に内包)","観測性初期化一元化(U2)に含む","高","中","M(内包)","06-候補2 / 順22(※3)","プライバシーモード決定のif/elif連鎖が utils.py:150-161とui.py:97-108で重複と行番号特定","中","中","M","Bは U2 で全体を扱う。CはCLI内の具体的重複箇所を行番号付きで特定し ※3 で全体統合。粒度はC、統合の明快さはB。互角","引き分け"
